Name,Episode,Day,Date,Href,Src_img
Listeners Sub Indo, Episode 7, Sabtu,16 Mei,https://otakudesu.org/anime/listen-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Listeners-Sub-Indo.jpg
Nami yo Kiitekure Sub Indo, Episode 7, Sabtu,16 Mei,https://otakudesu.org/anime/nami-kiitekure-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Nami-yo-Kiitekure-Sub-Indo.jpg
Shin Sakura Taisen the Animation Sub Indo, Episode 7, Sabtu,16 Mei,https://otakudesu.org/anime/sakura-taisen-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Shin-Sakura-Taisen-the-Animation-Sub-Indo.jpg
Toaru Kagaku no Railgun Season 3 Sub Indo, Episode 14, Sabtu,16 Mei,https://otakudesu.org/anime/toru-kagaku-railgun-t-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/03/Toaru-Kagaku-no-Railgun-Season-3-Sub-Indo.jpg
Kakushigoto Sub Indo, Episode 7, Jumat,15 Mei,https://otakudesu.org/anime/kashigoto-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Kakushigoto-Sub-Indo.jpg
Hachi-nan tte Sore wa Nai deshou! Sub Indo, Episode 7, Kamis,14 Mei,https://otakudesu.org/anime/hachi-nan-tte-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Hachi-nan-tte-Sore-wa-Nai-deshou-Sub-Indo.jpg
Tamayomi Sub Indo, Episode 7, Kamis,14 Mei,https://otakudesu.org/anime/tamayo-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Tamayomi-Sub-Indo.jpg
Plunderer Sub Indo, Episode 18, Kamis,14 Mei,https://otakudesu.org/anime/plunder-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Plunderer-Sub-Indo.jpg
Tower of God Sub Indo, Episode 7, Kamis,14 Mei,https://otakudesu.org/anime/tow-god-sub-indo/,https://otakudesu.org/wp-content/uploads/2020/04/Tower-of-God-Sub-Indo.jpg
Ahiru no Sora Sub Indo, Episode 31, Rabu,14 Mei,https://otakudesu.org/anime/ahiru-sora-sub-indo/,https://otakudesu.org/wp-content/uploads/2019/10/Ahiru-no-Sora-Sub-Indo.jpg
